id,Label,Easting,Northing,Reflectance,Band,Wavelength,Date,Projection
140,32,399293.0339506173,4177851.962962964,119,B7,2.2005,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
141,31,398782.98456790124,4177528.277777779,118,B7,2.2005,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
142,30,398851.6450617284,4176792.6296296306,127,B7,2.2005,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
143,29,399704.9969135803,4177341.913580248,113,B7,2.2005,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
144,28,400538.7314814815,4177695.024691359,116,B7,2.2005,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
145,27,401274.37962962966,4177842.154320989,126,B7,2.2005,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
146,26,402176.77469135803,4177901.0061728405,136,B7,2.2005,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
147,25,402598.5462962963,4177930.4320987663,143,B7,2.2005,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
148,24,402853.5709876543,4177381.1481481493,165,B7,2.2005,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
149,23,401951.17592592596,4177175.166666668,136,B7,2.2005,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
150,22,401097.8240740741,4177126.123456791,126,B7,2.2005,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
151,21,400430.8364197531,4177096.697530865,122,B7,2.2005,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
152,20,399871.7438271605,4176880.9074074086,115,B7,2.2005,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
153,19,399332.26851851854,4176655.308641976,126,B7,2.2005,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
154,18,398939.9228395062,4176449.327160495,117,B7,2.2005,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
155,17,399508.8240740741,4176262.962962964,116,B7,2.2005,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
156,16,400273.89814814815,4176184.4938271614,119,B7,2.2005,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
157,15,401235.1450617284,4176233.5370370382,110,B7,2.2005,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
158,14,402088.4969135803,4176292.38888889,125,B7,2.2005,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
159,13,402686.8240740741,4176410.0925925937,131,B7,2.2005,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
160,12,403236.1080246914,4176410.0925925937,157,B7,2.2005,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
161,11,403294.9598765432,4175890.234567902,143,B7,2.2005,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
162,10,402755.48456790124,4175713.6790123465,130,B7,2.2005,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
163,9,402029.6450617284,4175595.975308643,130,B7,2.2005,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
164,8,401225.3364197531,4175645.0185185196,124,B7,2.2005,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
165,7,400528.9228395062,4175684.2530864207,123,B7,2.2005,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
166,6,400018.87345679017,4175811.7654321,122,B7,2.2005,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
167,5,399410.737654321,4175998.1296296306,122,B7,2.2005,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
168,4,401274.37962962966,4175262.4814814827,121,B7,2.2005,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
169,3,401980.60185185185,4175203.6296296306,131,B7,2.2005,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
170,2,402775.10185185185,4175252.672839507,147,B7,2.2005,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
171,1,403167.4475308642,4175448.8456790135,144,B7,2.2005,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
172,44,398469.1080246914,4177832.3456790135,96,B6,1.6085,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
173,43,399145.9043209877,4178332.586419754,108,B6,1.6085,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
174,42,399567.67592592596,4178675.88888889,100,B6,1.6085,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
175,41,400322.9413580247,4179048.6172839515,114,B6,1.6085,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
176,40,401274.37962962966,4179274.216049384,129,B6,1.6085,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
177,38,402323.9043209877,4179303.6419753097,141,B6,1.6085,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
178,37,403088.97839506174,4178734.7407407416,139,B6,1.6085,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
179,36,402500.4598765432,4178597.4197530877,128,B6,1.6085,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
180,35,401647.1080246914,4178558.185185186,125,B6,1.6085,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
181,34,400960.5030864198,4178489.524691359,113,B6,1.6085,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
182,33,399920.7870370371,4178224.6913580257,121,B6,1.6085,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
183,32,399293.0339506173,4177851.962962964,109,B6,1.6085,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
184,31,398782.98456790124,4177528.277777779,110,B6,1.6085,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
185,30,398851.6450617284,4176792.6296296306,125,B6,1.6085,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
186,29,399704.9969135803,4177341.913580248,103,B6,1.6085,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
187,28,400538.7314814815,4177695.024691359,107,B6,1.6085,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
188,27,401274.37962962966,4177842.154320989,112,B6,1.6085,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
